id,category,productName,description
31,desktop computers pcs,mac studio apple m2 ultra chip with 24core cpu 60core gpu 1tb ssd,m2 ultra chip for exceptional performance 24core cpu packs up to 33x faster performance than 27inch imac to push the boundaries of your workflow 60core gpu with up to 61x faster performance than 27inch imac for graphicsintensive pro workflows 32core neural engine for advanced machine learning 64gb of unified memory to run multiple demanding pro apps
32,desktop computers pcs,imac 235inch apple m3 chip with 8gb memory 8core cpu and 8core gpu 256gb ssd,the worlds best allinone desktop computer now supercharged by the m3 chip stunning 235inch display in an iconic design and a sixspeaker sound system with spatial audio look and sound your best with a 1080p facetime hd camera and a studioquality threemic array all your goto apps run lightning fastincluding microsoft 365 adobe creative cloud and zoom
33,desktop computers pcs,hp 27 allinone touchscreen desktop 13th gen intel core i71355u 1080p windows 11,13th gen intel core i71355u 10core processor 27 touchscreen ips threesided microedge fhd 1920 x 1080 250nits display hp white wireless keyboard and mouse hp true vision 720p hd tilt privacy camera fixed detachable stand
34,desktop computers pcs,imac 24inch apple m3 chip with 8gb memory 8core cpu and 10core gpu 512gb ssd,the worlds best allinone desktop computer now supercharged by the m3 chip stunning 235inch display in an iconic design and a sixspeaker sound system with spatial audio look and sound your best with a 1080p facetime hd camera and a studioquality threemic array all your goto apps run lightning fastincluding microsoft 365 adobe creative cloud and zoom
35,desktop computers pcs,ibuypower slatemesh gaming desktop 13th gen intel core i7 13700f geforce rtx 4060 windows 11,13th gen intel core i713700f 16core processor nvidia geforce rtx 4060 graphics 8gb 2tb nvme solid state drive gaming usb keyboard gaming usb mouse windows 11 home
36,desktop computers pcs,dell inspiron desktop 13th gen intel core i513400 windows 11,13th gen intel core i513400 10core processor realtek wifi 6 2x2160 gig and bluetooth 52 integrated intel uhd 730 graphics dvd drive reads and writes to dvdcd
37,desktop computers pcs,hp 238 touchscreen allinone desktop amd ryzen 3 7320u 1080p windows 11,microsoft windows 11 home amd ryzen 3 7320u processor wifi 6 2x2160 gig and bluetooth 53 hp true vision 720p hd tilt privacy camera hp white wired keyboard mouse
38,desktop computers pcs,apple magic mouse black,magic mouse is wireless and rechargeable with an optimized foot design that lets it glide smoothly across your desk multitouch surface allows you to perform simple gestures such as swiping between web pages and scrolling through documents the rechargeable battery will power your magic mouse for about a month or more between charges its ready to go right out of the box and pairs automatically with your mac and it includes a woven usbc to lightning cable that lets you pair and charge by connecting to a usbc port on your mac
39,desktop computers pcs,lenovo ideacentre 27 allinone touchscreen desktop 13th gen intel core i713620h 1080p windows 11,13th gen intel core i713620h 10core processor 27 touchscreen ips fhd 1920 x 1080 300nits display integrated 5mp webcam includes wireless keyboard and mouse 1x hdmi out
40,desktop computers pcs,imac 24inch apple m3 chip with 8gb memory 8core cpu and 10core gpu 256gb ssd,the worlds best allinone desktop computer now supercharged by the m3 chip stunning 235inch display in an iconic design and a sixspeaker sound system with spatial audio look and sound your best with a 1080p facetime hd camera and a studioquality threemic array all your goto apps run lightning fastincluding microsoft 365 adobe creative cloud and zoom
41,desktop computers pcs,skytech chronos mini gaming desktop 13th gen intel core i513400f geforce rtx 4060,13th gen intel core i513400f 10core processor nvidia geforce rtx 4060 8gb 1tb nvme m2 solid state drive gaming keyboard mouse
42,desktop computers pcs,hp omen 45l gaming desktop 13th gen intel core i913900kf geforce rtx 4070 ti windows 11,13th gen intel core i913900kf 24core processor nvidia geforce rtx 4070 ti 12gb graphics wifi 6 2x2160 gig and bluetooth 53 liquid cooled 3x displayport
43,desktop computers pcs,msi aegis r gaming desktop 13th gen intel core i713700f geforce rtx 4060ti windows 11,13th gen intel core i713700f 16core processor nvidia geforce rtx 4060ti graphics 16gb wifi 6e gig bluetooth 53 msi gaming kb mouse windows 11 home
44,desktop computers pcs,hp 27 touchscreen allinone desktop amd ryzen 7 5700u 1080p windows 11,27 touchscreen ips threesided microedge antiglare fhd 1920 x 1080 300nits display amd ryzen 7 5700u 8core processor wifi 6 2x2160 gig and bluetooth 50 hp true vision 720p hd privacy camera hp white wired keyboard mouse
45,desktop computers pcs,hp pavilion desktop amd ryzen 5 5600g windows 11,amd ryzen 5 5600g 6core processor 1tb 7200rpm sata hard drive 256gb pcie nvme m2 solid state drive wifi 6 2x2160 gig and bluetooth 52 usb black wired keyboard and mouse combo microsoft windows 11 home 64bit
46,desktop computers pcs,imac 24 with retina 45k display apple m1 chip 8core cpu 8core gpu 8gb memory 256gb ssd,apple m1 chip brings incredible speed and radical thinness to imac 8core cpu 8core gpu and a 16core neural engine so everything is fluid and responsive 45k retina display with true tone technology 256gb ssd storage two thunderboltusb 4 ports two usb 3 ports gigabit ethernet
47,desktop computers pcs,dell inspiron 238 allinone touchscreen desktop amd ryzen 5 7530u 1080p windows 11,amd ryzen 5 7530u 6core processor 238 ait touchscreen antiglare infinityedge fhd 1920 x 1080 60hz display mediatek wifi 6 2x2 gig dell pro wireless black keyboard mouse microsoft windows 11 home 64bit
48,desktop computers pcs,hp 238 allinone touchscreen desktop amd ryzen 5 7520u 1080p windows 11,amd ryzen 5 7520u processor 238 touchscreen ips threesided microedge antiglare fhd 1920 x 1080 300nits display wifi 6 2x2160 gig and bluetooth 53 hp true vision 720p hd tilt privacy camera hp white wired keyboard and mouse
49,desktop computers pcs,dell xps tower 13th gen intel core i713700 geforce rtx 3060ti windows 11,13th gen intel core i713700 16core processor nvidia geforce rtx 3060ti 8gb killer wifi 6 ax1675 2x2 gig and bluetooth 52 dell multimedia keyboard wired mouse 1 year dell onsite service after remote diagnosis
50,desktop computers pcs,imac 24 with retina 45k display apple m1 chip 8core cpu 8core gpu 8gb memory 512gb ssd,apple m1 chip brings incredible speed and radical thinness to imac 8core cpu 8core gpu and a 16core neural engine so everything is fluid and responsive 45k retina display with true tone technology 512gb ssd storage two thunderboltusb 4 ports two usb 3 ports gigabit ethernet
51,desktop computers pcs,dell inspiron desktop 13th gen intel core i713700 geforce gtx 1660 super windows 11,13th gen intel core i713700 16core processor realtek wifi 6 2x2160 gig and bluetooth 52 nvidia geforce gtx 1660 super 6gb dell multimedia keyboard and optical mouse microsoft windows 11 home 64bit
52,desktop computers pcs,ibuypower y40 gaming desktop 13th gen intel core i913900kf geforce rtx 4080 windows 11,13th gen intel i913900kf 24core nvidia geforce rtx 4080 16gb 2tb hard drive 1tb solid state drive 240mm liquid cooling gaming usb keyboard gaming usb mouse
53,desktop computers pcs,ibuypower y60 gaming desktop 13th gen intel core i913900kf geforce rtx 4070ti windows 11,13th gen intel i913900kf 24core nvidia geforce rtx 4070ti 12gb 2tb hard drive 1tb solid state drive 240mm liquid cooling gaming usb keyboard gaming usb mouse
54,desktop computers pcs,dell xps tower 13th gen intel core i713700 windows 11 home,13th gen intel core i713700 16core processor microsoft windows 11 home 64bit killer 1675 wifi 6e ax1675 and bluetooth 53 1 year dell onsite service after remote diagnosis
55,desktop computers pcs,skytech blaze 3 gaming desktop 12th gen intel core i712700f geforce rtx 4060ti windows 11,12th gen intel core i712700f 12core processor nvidia geforce rtx 4060ti 8gb 1tb pcie m2 solid state drive rgb gaming keyboard mouse liquid cooled
56,desktop computers pcs,hp 315 allinone desktop 13th gen intel core i713700t geforce rtx 3050 2560 x 1440 windows 11,13th gen intel core i713700t 16core processor nvidia geforce rtx 3050 4gb 315 ips brightview threesided microedge qhd 2560 x 1440 350nits display hp black wireless keyboard and mouse microsoft windows 11 home 64bit
57,desktop computers pcs,msi 238 modern allinone touchscreen desktop 12th gen intel core i71260p 1080p windows 11,12th gen intel core i71260p processor intel wifi 6e 2x2 gig and bluetooth 53 238 touchscreen ips fhd 1920 x 1080 display microsoft windows 11 home 64bit wireless keyboard mouse
58,desktop computers pcs,cyberpowerpc gamer supreme liquid cooled gaming tower intel core i713700kf 16core geforce rtx 4070 12gb,intel core i713700kf 16core 34ghz max 54ghz processor nvidia geforce rtx 4070 12gb 20tb solid state drive 7 colors rgb gaming keyboard mouse liquid cooled
59,desktop computers pcs,dell inspiron 238 allinone touchscreen desktop 13th gen intel core i71355u 1080p windows 11,13th gen intel core i71355u processor intel wifi 6 2x2 gig and bluetooth integrated intel uhd graphics dell wireless keyboard mouse microsoft windows 11 home
60,desktop computers pcs,hp 238 allinone touchscreen desktop 13th gen intel core i71355u 1080p windows 11,13th gen intel core i71355u 10core processor 238 touchscreen ips threesided microedge antiglare fhd 1920 x 1080 300nits display hp true vision 720p tilt privacy camera hp white wireless keyboard and mouse combo microsoft windows 11 home
61,desktop computers pcs,ibuypower slatemra7n36t01 gaming desktop amd ryzen 7 5700 geforce rtx 3060ti windows 11,amd ryzen 7 5700 8core processor nvidia geforce 3060ti graphics 8gb 2tb hard drive 1tb solid state drive cooling cpu fan gaming usb keyboard gaming usb mouse
62,desktop computers pcs,skytech chronos gaming desktop 12th gen intel core i712700f geforce rtx 4070,12th gen intel core i712700f 12core processor nvidia geforce rtx 4070 12gb 1tb nvme m2 solid state drive gaming keyboard mouse 240mm liquid cooling
63,desktop computers pcs,dell inspiron desktop 13th gen intel core i713700f geforce gtx 1660 super windows 11,13th gen intel core i713700f 16core processor realtek wifi 6 2x2160 gig and bluetooth 52 nvidia geforce gtx 1660 super 6gb dell multimedia keyboard and optical mouse microsoft windows 11 home 64bit
64,desktop computers pcs,apple magic keyboard with touch id and numeric keypad,magic keyboard is available with touch id providing fast easy and secure authentication for logins and purchases features an extended layout with document navigation controls for quick scrolling and fullsize arrow keys which are great for gaming the numeric keypad is also ideal for spreadsheets and finance applications its wireless and features a rechargeable battery that will power your keyboard for about a month or more between charges it pairs automatically with your mac so you can get to work right away and it includes a woven usbc to lightning cable
65,desktop computers pcs,skytech azure2 gaming desktop 12th gen intel core i912900f geforce rtx 4080,12th gen intel core i912900f 16core processor nvidia geforce rtx 4080 16gb 1tb pcle m2 solid state drive skytech gaming rgb keyboard mouse
66,desktop computers pcs,imac 45k retina 24inch apple m1 chip 8core cpu 8core gpu 8gb memory 256gb ssd,immersive 24inch 45k retina display with p3 wide color gamut and 500 nits of brightness m1 chip delivers powerful performance with 8core cpu and 8core gpu strikingly thin 115 mm design in vibrant colors 1080p facetime hd camera with m1 image signal processor for amazing video quality studioquality threemicrophone array for crystalclear calls and voice recordings
67,desktop computers pcs,dell xps tower 13th gen intel core i713700 geforce rtx 4060 windows 11,13th gen intel core i713700 16core processor nvidia geforce rtx 4060 8gb killer wifi 6e ax1675 2x2 gig and bluetooth 53 1 year dell onsite service after remote diagnosis
68,desktop computers pcs,skytech chronos gaming desktop 12th gen intel core i712700f arc a770 white,12th gen intel core i712700f 12core processor intel arc a770 16gb 1tb pcie m2 solid state drive skytech gaming rgb keyboard mouse
69,desktop computers pcs,ibuypower slate mesh gaming desktop 13th gen intel core i713700f geforce rtx 3060ti windows 11,13th gen intel core i713700f 16core processor nvidia geforce 3060ti graphics 8gb 2tb hard drive 1tb solid state drive cooling 240mm liquid cooling gaming usb keyboard gaming usb mouse
70,desktop computers pcs,hp omen 45l gaming desktop amd ryzen 9 7900x geforce rtx 4070 ti,amd ryzen 9 7900x 12core processor nvidia geforce rtx 4070 ti 12gb graphics wifi 6 2x2160 gig and bluetooth 53 3x displayport liquid cooling
71,desktop computers pcs,cyberpowerpc gamer supreme gaming desktop 13th gen intel core i713700kf geforce rtx 4080 white,intel core i713700kf processor nvidia geforce rtx 4080 16gb 20tb hard drive 20tb solid state drive usb 7 colors rgb gaming keyboard mouse liquid cooled
72,gaming desktop computer pcs,cyberpowerpc gamer xtreme gaming desktop 13th gen intel core i513400f geforce rtx 4060 black,intel core i513400f processor nvidia geforce rtx 4060 8gb 20tb solid state drive usb gaming keyboard 7 colors gaming mouse 32gb ddr5 memory
73,gaming desktop computer pcs,msi aegis r gaming desktop 13th gen intel core i713700f geforce rtx 4070 windows 11,13th gen intel core i713700f processor nvidia geforce rtx 4070 12gb 1tb solid state drive 2tb hard drive msi gaming keyboard mouse liquid cooling 240
74,gaming desktop computer pcs,hp victus gaming desktop 13th gen intel core i713700f geforce rtx 4060 window 11,13th gen intel core i713700f 16core processor nvidia geforce rtx 4060 8gb graphics wifi 6 2x2160 gig and bluetooth 53 hyperx alloy core rgb wired keyboard and hyperx pulsefire core wired mouse 3x displayport
75,gaming desktop computer pcs,ibuypower slatemesh gaming desktop 13th gen intel core i7 13700f geforce rtx 4060 windows 11,13th gen intel core i713700f 16core processor nvidia geforce rtx 4060 graphics 8gb 2tb nvme solid state drive gaming usb keyboard gaming usb mouse windows 11 home
76,gaming desktop computer pcs,asus rog strix gaming desktop 13th gen intel core i713700f nvidia geforce rtx 4060 windows 11 home,13th gen intel core i713700f 21ghz 16core processor nvidia geforce rtx4060 dual 8gb gddr6 wifi 6e80211ax dual band 11 bluetooth 53 high definition 71 channel audio
77,gaming desktop computer pcs,skytech chronos mini gaming desktop 13th gen intel core i513400f geforce rtx 4060,13th gen intel core i513400f 10core processor nvidia geforce rtx 4060 8gb 1tb nvme m2 solid state drive gaming keyboard mouse
78,gaming desktop computer pcs,hp omen 45l gaming desktop 13th gen intel core i913900kf geforce rtx 4070 ti windows 11,13th gen intel core i913900kf 24core processor nvidia geforce rtx 4070 ti 12gb graphics wifi 6 2x2160 gig and bluetooth 53 liquid cooled 3x displayport
79,gaming desktop computer pcs,msi aegis r gaming desktop 13th gen intel core i713700f geforce rtx 4060ti windows 11,13th gen intel core i713700f 16core processor nvidia geforce rtx 4060ti graphics 16gb wifi 6e gig bluetooth 53 msi gaming kb mouse windows 11 home
80,gaming desktop computer pcs,ibuypower y40 gaming desktop 13th gen intel core i913900kf geforce rtx 4080 windows 11,13th gen intel i913900kf 24core nvidia geforce rtx 4080 16gb 2tb hard drive 1tb solid state drive 240mm liquid cooling gaming usb keyboard gaming usb mouse
81,gaming desktop computer pcs,cyberpowerpc gamer supreme liquid cooled gaming tower intel core i713700kf 16core geforce rtx 4070 12gb,intel core i713700kf 16core 34ghz max 54ghz processor nvidia geforce rtx 4070 12gb 20tb solid state drive 7 colors rgb gaming keyboard mouse liquid cooled
82,gaming desktop computer pcs,skytech blaze 3 gaming desktop 12th gen intel core i712700f geforce rtx 4060ti windows 11,12th gen intel core i712700f 12core processor nvidia geforce rtx 4060ti 8gb 1tb pcie m2 solid state drive rgb gaming keyboard mouse liquid cooled
83,gaming desktop computer pcs,ibuypower y60 gaming desktop 13th gen intel core i913900kf geforce rtx 4070ti windows 11,13th gen intel i913900kf 24core nvidia geforce rtx 4070ti 12gb 2tb hard drive 1tb solid state drive 240mm liquid cooling gaming usb keyboard gaming usb mouse
84,gaming desktop computer pcs,ibuypower slatemra7n36t01 gaming desktop amd ryzen 7 5700 geforce rtx 3060ti windows 11,amd ryzen 7 5700 8core processor nvidia geforce 3060ti graphics 8gb 2tb hard drive 1tb solid state drive cooling cpu fan gaming usb keyboard gaming usb mouse
85,gaming desktop computer pcs,skytech chronos gaming desktop 12th gen intel core i712700f geforce rtx 4070,12th gen intel core i712700f 12core processor nvidia geforce rtx 4070 12gb 1tb nvme m2 solid state drive gaming keyboard mouse 240mm liquid cooling
86,gaming desktop computer pcs,skytech azure2 gaming desktop 12th gen intel core i912900f geforce rtx 4080,12th gen intel core i912900f 16core processor nvidia geforce rtx 4080 16gb 1tb pcle m2 solid state drive skytech gaming rgb keyboard mouse
87,gaming desktop computer pcs,skytech chronos gaming desktop 12th gen intel core i712700f arc a770 white,12th gen intel core i712700f 12core processor intel arc a770 16gb 1tb pcie m2 solid state drive skytech gaming rgb keyboard mouse
88,gaming desktop computer pcs,cyberpowerpc gamer supreme gaming desktop 13th gen intel core i713700kf geforce rtx 4080 white,intel core i713700kf processor nvidia geforce rtx 4080 16gb 20tb hard drive 20tb solid state drive usb 7 colors rgb gaming keyboard mouse liquid cooled
89,gaming desktop computer pcs,hp omen 45l gaming desktop amd ryzen 9 7900x geforce rtx 4070 ti,amd ryzen 9 7900x 12core processor nvidia geforce rtx 4070 ti 12gb graphics wifi 6 2x2160 gig and bluetooth 53 3x displayport liquid cooling
90,gaming desktop computer pcs,ibuypower slate mesh gaming desktop 13th gen intel core i713700f geforce rtx 3060ti windows 11,13th gen intel core i713700f 16core processor nvidia geforce 3060ti graphics 8gb 2tb hard drive 1tb solid state drive cooling 240mm liquid cooling gaming usb keyboard gaming usb mouse
91,gaming laptops notebook computers,hp omen 173 gaming laptop 13th gen intel core i713700hx geforce rtx 4070 1080p 144hz,nvidia geforce rtx 4070 graphics 8gb 13th gen intel core i713700hx 16core processor 173 ips microedge antiglare fhd 1920 x 1080 300nits 144hz display 1tb pcie gen4 nvme m2 solid state drive fullsize 4zone rgb backlit keyboard
92,gaming laptops notebook computers,lenovo legion 5 pro 16 gaming laptop amd ryzen 7 7745hx geforce rtx 4070 240hz wqxga 2560 x 1600 windows 11 onyx grey,amd ryzen 7 7745hx 8core processor nvidia geforce rtx 4070 8gb 16 ips lcd with led backlight antiglare wqxga 2560 x 1600 500nits 240hz display backlit 4 zone rgb keyboard and webcam with privacy shutter microsoft windows 11 home 64bit
93,gaming laptops notebook computers,lenovo legion pro 5i 16 gaming laptop 13th gen intel core i713700hx geforce rtx 4060 165hz 2560 x 1600,13th gen intel core i713700hx 16core processor nvidia geforce rtx 4060 8gb wifi 6e 2x2160 gig and bluetooth 160 ips lcd with ledbacklit antiglare wqxga 2560 x 1600 300nits 165hz display 4 zone rgb backlit keyboard and 1080p webcam with privacy shutter
94,gaming laptops notebook computers,msi ge68hx raider 16 gaming laptop 13th gen intel core i913950hx geforce rtx 4060 144hz fhd 1920 x 1200,13th gen intel core i913950hx processor nvidia geforce rtx 4060 graphics 8gb killer wifi 6e ax211 2x2160 gig bluetooth 53 16 ips fhd 1920 x 1200 144hz display windows 11 home
95,gaming laptops notebook computers,msi katana 156 laptop 12th gen intel core i712650h geforce rtx 4060 fhd 1920 x 1080 144hz windows 11,12th gen intel core i712650h processor nvidia geforce rtx 4060 8gb 156 ips fhd 1920 x 1080 144hz display 4 zone backlit rgb keyboard 99 key intel wifi 6 2x2160 gig and bluetooth 52
96,gaming laptops notebook computers,hp omen 173 gaming laptop 13th gen intel core i913900hx geforce rtx 4080 165hz 1440p windows 11,nvidia geforce rtx 4080 graphics 12gb 13th gen intel core i913900hx 24core processor 173 ips microedge antiglare qhd 2560 x 1440 300nits 165hz display 1tb pcie gen4 nvme m2 solid state drive fullsize 4zone rgb backlit keyboard and 26key rollover antighosting key technology
97,gaming laptops notebook computers,lenovo legion pro 5i 16 gaming laptop 13th gen intel core i913900hx geforce rtx 4060 165hz 2560 x 1600,13th gen intel core i913900hx 24core processor nvidia geforce rtx 4060 8gb wifi 6e 2x2160 gig and bluetooth 51 16 ips lcd with ledbacklight antiglare wqxga 2560 x 1600 300nits 165hz display 4 zone rgb backlit keyboard and 1080p webcam with eprivacy shutter
98,gaming laptops notebook computers,hp victus 161 gaming laptop 13th gen intel core i713700hx geforce rtx 4060 144hz 1080p windows 11,13th gen intel core i713700hx 16core processor nvidia geforce rtx 4060 8gb wifi 6e 2x2160 gig and bluetooth 53 161 antiglare ips microedge fhd 1920 x 1080 144hz display microsoft windows 11 home
99,gaming laptops notebook computers,msi raider ge68hx 16 laptop 13th gen intel core i913950hx geforce rtx 4070 qhd 2560 x 1600 windows 11,13th gen intel core i913950hx processor nvidia geforce rtx 4070 8gb 16 qhd 2560 x 1600 240hz display steel series rgb with antighost keyboard windows 11 home 64bit
100,gaming laptops notebook computers,asus 16 rog strix g16 laptop 13th gen intel core i913980hx geforce rtx 4060 1920 x 1200 windows 11,13th gen intel core i913980hx 24core processor wifi 6e 2x2160 gig and bluetooth 52 16 antiglare ips fhd 1920 x 1200 250nits 165hz display nvidia geforce rtx 4060 8gb backlit chiclet keyboard 4zone rgb
101,gaming laptops notebook computers,msi raider ge78hx 17 laptop 13th gen intel core i913950hx geforce rtx 4080 qhd 2560 x 1600 windows 11,13th gen intel core i913950hx processor nvidia geforce rtx 4080 12gb 17 ips qhd 2560 x 1600 240hz display steel series rgb keyboard with antighost keyboard windows 11 home 64bit
102,gaming laptops notebook computers,acer nitro v 156 gaming laptop 13th gen intel core i513420h processor 1080p windows 11,13th gen intel core i513420h 8core processor nvidia geforce rtx 2050 graphics 4gb 156 widescreen ips ledbacklit fhd 1920 x 1080 144hz display wifi 6 2x2160 gig and bluetooth 51 backlit keyboard with numeric keypad
103,gaming laptops notebook computers,dell 16 gaming laptop 13th gen intel core i913900hx geforce rtx 4070 windows 11 metallic nightshade gray,13th gen intel core i913900hx 24 core processor 16 qhd 2560 x 1600 display 165hz intel wifi 6 2x2160 gig and bluetooth nvidia geforce rtx 4070 8gb microsoft windows 11 home
104,gaming laptops notebook computers,dell g15 gaming laptop 13th gen intel core i913900hx geforce rtx 4060 windows 11 black,13th gen intel core i913900hx processor 156 fhd 1920 x 1080 165hz display intel wifi 6 2x2160 gig and bluetooth nvidia geforce rtx 4060 8gb 4zone rgb backlit keyboard with numeric keypad
105,gaming laptops notebook computers,msi cyborg gaming laptop 13th gen intel core i713620h geforce rtx 4050 144hz 1080p,13th gen intel core i713620h processor nvidia geforce rtx 4050 graphics 6gb intel wifi 6 2x2160 gig bluetooth 52 156 ips fhd 1920 x 1080 144hz display windows 11 home 64bit
